avg_temp,avg_humidity,total_precip,avg_wind,month,district
25.85,86.74,408.5,17.86,2022-10,Colombo
25.53,86.07,272.8,14.22,2022-11,Colombo
25.64,84.35,198.6,16.15,2022-12,Colombo
25.72,77.9,85.9,17.29,2023-01,Colombo
26.04,82.79,67.3,15.8,2023-02,Colombo
26.78,84.39,141.2,13.11,2023-03,Colombo
27.65,81.5,138.2,13.71,2023-04,Colombo
27.49,86.0,238.3,16.96,2023-05,Colombo
27.03,85.97,379.3,19.46,2023-06,Colombo
26.88,85.42,250.1,21.0,2023-07,Colombo
27.11,84.03,149.6,19.72,2023-08,Colombo
26.31,87.73,554.6,19.35,2023-09,Colombo
25.97,89.45,564.4,14.84,2023-10,Colombo
26.06,90.33,488.6,11.99,2023-11,Colombo
26.51,87.84,410.4,14.75,2023-12,Colombo
26.53,83.45,138.1,14.16,2024-01,Colombo
28.01,77.1,38.3,17.0,2024-02,Colombo
28.11,77.32,79.9,16.71,2024-03,Colombo
28.48,82.9,177.2,14.53,2024-04,Colombo
27.94,86.29,656.3,20.09,2024-05,Colombo
27.16,85.8,355.6,21.23,2024-06,Colombo
27.16,85.61,316.0,18.99,2024-07,Colombo
26.81,85.06,334.0,19.06,2024-08,Colombo
27.04,84.33,310.4,20.02,2024-09,Colombo
26.5,87.26,410.6,16.91,2024-10,Colombo
25.88,87.77,401.2,15.29,2022-10,Gampaha
25.78,85.73,283.3,12.38,2022-11,Gampaha
25.78,84.23,166.3,13.93,2022-12,Gampaha
25.98,76.55,114.3,16.02,2023-01,Gampaha
26.59,79.54,101.8,13.45,2023-02,Gampaha
27.28,82.97,179.2,11.89,2023-03,Gampaha
27.69,83.6,177.6,12.44,2023-04,Gampaha
27.46,86.71,233.4,15.14,2023-05,Gampaha
26.98,87.1,325.2,17.46,2023-06,Gampaha
26.8,86.0,254.6,17.99,2023-07,Gampaha
27.02,84.61,113.9,17.74,2023-08,Gampaha
26.11,88.83,551.0,17.15,2023-09,Gampaha
26.2,89.81,616.8,12.62,2023-10,Gampaha
26.35,90.83,509.4,9.82,2023-11,Gampaha
26.74,87.65,386.0,14.05,2023-12,Gampaha
26.77,81.58,164.6,13.75,2024-01,Gampaha
28.84,72.76,26.5,16.26,2024-02,Gampaha
28.85,76.03,83.2,15.15,2024-03,Gampaha
28.8,83.43,235.2,12.83,2024-04,Gampaha
27.85,87.84,637.4,16.34,2024-05,Gampaha
27.13,87.0,352.7,18.27,2024-06,Gampaha
26.98,86.55,313.3,17.21,2024-07,Gampaha
26.67,86.42,263.9,17.13,2024-08,Gampaha
26.91,85.9,325.9,17.9,2024-09,Gampaha
26.45,88.29,395.3,14.26,2024-10,Gampaha
25.87,85.84,409.1,17.79,2022-10,Kalutara
25.6,85.03,231.0,14.02,2022-11,Kalutara
25.61,84.77,146.5,15.08,2022-12,Kalutara
25.37,81.81,74.2,12.36,2023-01,Kalutara
25.85,84.43,86.4,13.66,2023-02,Kalutara
26.6,84.77,140.4,12.29,2023-03,Kalutara
27.39,83.33,150.6,12.7,2023-04,Kalutara
27.29,86.13,243.7,15.81,2023-05,Kalutara
26.94,85.5,347.2,18.57,2023-06,Kalutara
26.78,84.55,228.0,19.55,2023-07,Kalutara
27.13,82.74,157.7,18.19,2023-08,Kalutara
26.28,87.37,586.2,17.39,2023-09,Kalutara
26.0,88.9,616.7,13.14,2023-10,Kalutara
26.11,89.3,567.4,11.9,2023-11,Kalutara
26.31,88.58,332.5,12.84,2023-12,Kalutara
26.38,85.26,151.9,11.57,2024-01,Kalutara
27.63,80.07,41.2,13.7,2024-02,Kalutara
28.23,77.55,56.5,15.53,2024-03,Kalutara
28.28,83.87,184.3,13.56,2024-04,Kalutara
27.76,86.55,615.5,18.09,2024-05,Kalutara
27.18,85.0,354.1,19.46,2024-06,Kalutara
27.18,84.74,296.5,17.47,2024-07,Kalutara
26.73,84.55,349.6,17.29,2024-08,Kalutara
26.92,83.7,336.8,18.96,2024-09,Kalutara
29.0,78.0,15.0,12.0,2024-10,Kalutara
25.82,85.52,364.6,20.68,2022-10,Galle
25.81,84.5,210.4,15.01,2022-11,Galle
25.6,85.03,210.1,15.24,2022-12,Galle
25.07,84.87,126.3,12.12,2023-01,Galle
25.91,84.54,163.1,13.92,2023-02,Galle
26.47,84.74,141.3,12.91,2023-03,Galle
27.15,83.2,127.1,13.09,2023-04,Galle
27.33,84.39,221.3,19.08,2023-05,Galle
26.95,84.6,277.6,22.47,2023-06,Galle
26.68,85.16,271.3,22.39,2023-07,Galle
27.02,82.9,188.7,20.38,2023-08,Galle
26.14,86.97,624.6,18.22,2023-09,Galle
25.78,88.97,480.5,12.65,2023-10,Galle
25.98,89.47,468.3,12.64,2023-11,Galle
26.25,88.35,390.7,14.04,2023-12,Galle
26.16,85.35,228.6,12.71,2024-01,Galle
27.76,79.41,80.1,14.12,2024-02,Galle
27.92,79.1,110.3,14.31,2024-03,Galle
28.01,84.6,223.2,13.57,2024-04,Galle
27.47,87.58,625.2,19.03,2024-05,Galle
27.09,85.13,336.1,20.69,2024-06,Galle
27.17,85.1,245.6,20.74,2024-07,Galle
26.72,85.03,371.1,19.19,2024-08,Galle
26.76,84.97,327.4,21.57,2024-09,Galle
26.42,86.0,295.7,17.74,2024-10,Galle
