avg_temp,avg_humidity,total_precip,avg_wind,month,district
26.0,86.52,409.2,17.41,2022-10,MORATUWA NORTH
25.79,86.13,273.4,14.09,2022-11,MORATUWA NORTH
25.76,84.84,225.1,15.72,2022-12,MORATUWA NORTH
25.68,80.19,80.8,15.3,2023-01,MORATUWA NORTH
25.98,84.93,98.7,14.5,2023-02,MORATUWA NORTH
26.85,85.58,132.8,11.79,2023-03,MORATUWA NORTH
27.61,84.2,139.4,12.82,2023-04,MORATUWA NORTH
27.49,86.29,257.0,16.14,2023-05,MORATUWA NORTH
27.18,86.1,355.7,18.77,2023-06,MORATUWA NORTH
27.07,85.1,204.7,20.67,2023-07,MORATUWA NORTH
27.33,83.71,164.6,19.33,2023-08,MORATUWA NORTH
26.46,87.23,560.7,19.09,2023-09,MORATUWA NORTH
26.16,88.97,539.0,14.82,2023-10,MORATUWA NORTH
26.2,90.0,485.9,12.37,2023-11,MORATUWA NORTH
26.54,88.39,355.9,13.62,2023-12,MORATUWA NORTH
26.76,84.52,125.8,13.41,2024-01,MORATUWA NORTH
28.05,78.38,39.4,15.39,2024-02,MORATUWA NORTH
28.43,77.19,75.6,16.47,2024-03,MORATUWA NORTH
28.53,84.33,207.2,14.21,2024-04,MORATUWA NORTH
28.05,86.42,636.3,19.92,2024-05,MORATUWA NORTH
27.37,85.1,352.0,21.16,2024-06,MORATUWA NORTH
27.31,85.13,297.6,18.92,2024-07,MORATUWA NORTH
26.97,84.84,313.0,18.59,2024-08,MORATUWA NORTH
27.23,83.97,338.3,20.02,2024-09,MORATUWA NORTH
26.75,86.65,417.1,16.97,2024-10,MORATUWA NORTH
26.0,86.52,409.2,17.41,2022-10,MORATUWA SOUTH
25.79,86.13,273.4,14.09,2022-11,MORATUWA SOUTH
25.76,84.84,225.1,15.72,2022-12,MORATUWA SOUTH
25.68,80.19,80.8,15.3,2023-01,MORATUWA SOUTH
25.98,84.93,98.7,14.5,2023-02,MORATUWA SOUTH
26.85,85.58,132.8,11.79,2023-03,MORATUWA SOUTH
27.61,84.2,139.4,12.82,2023-04,MORATUWA SOUTH
27.49,86.29,257.0,16.14,2023-05,MORATUWA SOUTH
27.18,86.1,355.7,18.77,2023-06,MORATUWA SOUTH
27.07,85.1,204.7,20.67,2023-07,MORATUWA SOUTH
27.33,83.71,164.6,19.33,2023-08,MORATUWA SOUTH
26.46,87.23,560.7,19.09,2023-09,MORATUWA SOUTH
26.16,88.97,539.0,14.82,2023-10,MORATUWA SOUTH
26.2,90.0,485.9,12.37,2023-11,MORATUWA SOUTH
26.54,88.39,355.9,13.62,2023-12,MORATUWA SOUTH
26.76,84.52,125.8,13.41,2024-01,MORATUWA SOUTH
28.05,78.41,39.4,15.39,2024-02,MORATUWA SOUTH
28.43,77.19,75.6,16.47,2024-03,MORATUWA SOUTH
28.53,84.33,207.2,14.21,2024-04,MORATUWA SOUTH
28.05,86.42,636.3,19.92,2024-05,MORATUWA SOUTH
27.37,85.13,352.0,21.16,2024-06,MORATUWA SOUTH
27.31,85.13,297.6,18.92,2024-07,MORATUWA SOUTH
26.97,84.84,313.0,18.59,2024-08,MORATUWA SOUTH
27.23,83.97,338.3,20.02,2024-09,MORATUWA SOUTH
26.75,86.65,417.1,16.97,2024-10,MORATUWA SOUTH
25.95,86.68,414.9,17.46,2022-10,MAHARAGAMA
25.65,86.13,268.7,14.05,2022-11,MAHARAGAMA
25.68,84.55,204.2,15.89,2022-12,MAHARAGAMA
25.72,79.19,92.2,16.01,2023-01,MAHARAGAMA
25.99,84.07,92.8,15.0,2023-02,MAHARAGAMA
26.8,85.45,171.9,12.35,2023-03,MAHARAGAMA
27.52,83.83,165.3,13.23,2023-04,MAHARAGAMA
27.5,86.45,241.1,16.45,2023-05,MAHARAGAMA
27.13,86.23,390.3,18.81,2023-06,MAHARAGAMA
26.98,85.23,232.4,20.54,2023-07,MAHARAGAMA
27.2,83.97,151.4,19.25,2023-08,MAHARAGAMA
